YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
2021,1,1,98.08,2.8,3.62,1.85,1.77,117.19,5.45,7.38,3.82,3.56,120.75
2021,1,2,97.57,2.7,4.16,1.23,2.92,214.56,5.53,8.27,2.41,5.84,215.5
2021,1,3,97.47,1.88,2.45,1.17,1.27,206.12,4.02,5.68,2.09,3.59,207.56
2021,1,4,97.65,1.2,1.73,0.41,1.31,262.62,2.16,3.74,0.54,3.2,263.25
2021,1,5,97.54,1.35,2.02,0.8,1.21,273.75,2.83,5.03,1.12,3.9,274.62
2021,1,6,98.3,2.06,3.02,1.48,1.54,317.5,4.25,5.77,2.86,2.91,319
2021,1,7,98.37,1.91,2.55,1.45,1.1,186.81,3.7,5.41,2.7,2.71,173.56
2021,1,8,97.86,1.98,2.53,1.34,1.2,138,3.37,4.45,2.5,1.95,124.38
2021,1,9,98.09,2.02,2.45,1.48,0.96,318.81,4.13,6.39,3.04,3.35,321.19
2021,1,10,98.59,1.25,1.84,0.51,1.33,244.81,2.02,4.76,0.64,4.12,246.19
2021,1,11,98.36,1.75,2.66,0.84,1.82,206.5,3.71,5.35,1.2,4.16,206.88
2021,1,12,98.16,2.1,3.09,1.35,1.74,240.06,4.05,5.2,2.62,2.57,240.56
2021,1,13,97.56,2.54,3.6,1.84,1.75,209.62,4.96,6.66,3.05,3.62,211.69
2021,1,14,96.94,2.16,2.99,1.65,1.34,191.38,4.75,6.99,2.97,4.02,192.5
2021,1,15,96.57,2.68,4.99,1.09,3.9,155.44,5.12,8.27,2.59,5.68,157
2021,1,16,96.35,1.76,3.18,0.16,3.02,194.94,3.13,5.66,0.22,5.44,196.5
2021,1,17,96.69,2.82,4.07,1.84,2.23,234.75,5.06,6.78,3.77,3.02,236.44
2021,1,18,97.19,3.09,4.14,2.38,1.76,248,5.44,6.58,4.34,2.23,249.31
2021,1,19,97.95,3.02,4.09,2.21,1.88,245.69,5.66,6.79,4.56,2.23,247.12
2021,1,20,97.79,3.17,4.67,0.92,3.75,256.5,5.61,7.86,1.56,6.3,257.56
2021,1,21,96.75,4.08,4.9,2.7,2.2,235.12,7.55,8.84,5.57,3.27,237.75
2021,1,22,97.19,3.65,5,2.99,2,278.75,6.42,8.16,5.02,3.13,279.94
2021,1,23,98.47,2.96,4.07,1.08,2.99,313.44,5.24,6.8,2.32,4.47,314.38
2021,1,24,98.3,1.19,2.08,0.41,1.68,160.38,2.11,3.7,0.65,3.05,161.88
2021,1,25,97.63,1.48,3.14,0.41,2.73,95.06,2.59,4.93,0.66,4.27,95.75
2021,1,26,96.81,3.66,5.23,2.56,2.66,198.06,6.7,8.52,4.69,3.83,200.81
2021,1,27,98.04,2.81,3.64,1.75,1.88,319.88,4.75,6.02,2.45,3.57,321.06
2021,1,28,98.72,3.93,5.3,2.86,2.45,315.25,6.51,8.43,4.72,3.7,316.88
2021,1,29,98.73,3.02,4.19,1.59,2.59,304.12,5.41,6.55,3.84,2.7,305.38
2021,1,30,98.56,1.39,2.88,0.19,2.69,155.94,2.59,5.33,0.28,5.05,157.25
2021,1,31,97.47,3.69,4.62,2.39,2.23,106.5,5.95,7.29,3.93,3.37,109.5
2021,2,1,97.1,2.8,3.59,1.91,1.68,151,4.62,5.88,3.4,2.48,153.12
2021,2,2,96.98,4.46,5.52,2.98,2.53,324.75,7.38,9.19,4.86,4.33,327.31
2021,2,3,97.2,4.16,5.02,2.63,2.38,300.06,7.03,7.92,4.61,3.31,302.69
2021,2,4,97.33,2.41,4.78,1.54,3.23,190.88,4.16,8.83,2.27,6.55,192.75
2021,2,5,96.56,5.26,6.62,4.03,2.59,233.94,9.07,10.7,7.57,3.13,235.31
2021,2,6,97.62,3.38,5,1.73,3.27,231.25,5.93,8,2.48,5.52,231.5
2021,2,7,97.77,2.7,4.51,1.25,3.26,277.31,4.77,7.09,3.09,4.01,277.06
2021,2,8,98.52,1.02,1.9,0.14,1.76,182.31,1.84,4.77,0.23,4.54,182.44
2021,2,9,98.26,1.66,2.38,0.43,1.95,275.31,2.93,4.42,0.91,3.51,275.38
2021,2,10,98.5,1.94,2.89,0.45,2.45,119.12,3.04,4.46,0.56,3.91,120.94
2021,2,11,98.41,2.66,3.27,2.16,1.12,128.56,4.45,4.99,3.8,1.19,115.25
2021,2,12,98.33,1.95,3.14,0.1,3.04,64.38,3.52,6.2,0.01,6.2,67.12
2021,2,13,98.04,2.31,3.3,1.23,2.08,100.69,3.89,4.99,2.46,2.53,103.5
2021,2,14,98.34,1.91,2.53,1.28,1.25,220,3.3,4.22,1.77,2.46,221
2021,2,15,97.74,2.6,5.14,1.77,3.37,38.25,4.24,8.81,2.38,6.44,40.88
2021,2,16,97.05,4.03,5.62,2.47,3.16,243,6.9,8.88,4.66,4.21,244.62
2021,2,17,98.71,1.55,2.35,0.76,1.59,152,2.98,5.34,1.05,4.3,153.81
2021,2,18,98.31,2.2,3.46,1.39,2.07,90.12,4.03,5.34,2.75,2.59,92.31
2021,2,19,98.14,2.39,3.39,0.41,2.98,263.25,4.33,5.6,0.66,4.95,264.62
2021,2,20,98.64,3.03,4.21,2.39,1.82,266.56,5.56,6.82,3.79,3.03,268.12
2021,2,21,99,2.06,3.13,1.17,1.96,168.06,3.59,6.97,1.52,5.45,169.69
2021,2,22,97.2,4.16,5.15,3.38,1.77,211.62,7.55,9.48,6.23,3.25,214.44
2021,2,23,96.94,3.88,5.45,2.16,3.29,246.75,7.63,9.8,5.76,4.05,248.44
2021,2,24,97.33,3.8,6.03,1.95,4.09,223.81,6.9,10.7,3.4,7.29,225.94
2021,2,25,98.39,2.48,3.23,1.33,1.9,313.31,4.87,6.34,2.37,3.98,313.81
2021,2,26,98.59,2.44,4.01,1.21,2.8,164.88,4.66,7.52,2.08,5.44,165.75
2021,2,27,97.93,2.5,4.08,0.22,3.86,202.5,4.44,7.5,0.27,7.23,203.88
2021,2,28,97.44,2.71,3.77,1.57,2.2,150.56,5.63,7.7,2.84,4.86,153.38
2021,3,1,97.44,4.52,6.88,2.47,4.41,296.88,7.81,11.32,4.78,6.54,297.56
2021,3,2,98.4,2.24,3.42,1.29,2.13,282.38,4.09,6.38,1.88,4.49,282.94
2021,3,3,97.5,2.8,4.09,1.95,2.15,254.56,5.97,8.95,3.5,5.45,256.38
2021,3,4,97.83,3.42,5.24,1.8,3.44,324.44,6.09,8.27,3.17,5.1,325.56
2021,3,5,98.11,3.45,5.06,2.2,2.87,303.62,5.94,8,3.77,4.23,305.19
2021,3,6,98.27,2.94,4.14,1.52,2.62,309.06,5.39,6.53,2.78,3.75,309.44
2021,3,7,98.77,1.66,2.59,0.53,2.05,218.88,3.09,6.42,0.58,5.84,216.25
2021,3,8,99,2.38,3.38,0.74,2.64,217.69,4.69,8.8,1.07,7.73,219.12
2021,3,9,98.83,2.53,3.26,1.48,1.77,251.62,5.2,7.01,3.41,3.59,252.81
2021,3,10,98.6,2.98,4.07,2.23,1.84,186.94,6.83,8.19,4.18,4.01,188.25
2021,3,11,98.11,3.77,4.96,2.78,2.18,217.38,7.61,8.58,5.94,2.64,219.12
2021,3,12,98.49,2.79,4.38,1.46,2.92,304.19,5.55,8.07,2.28,5.79,304.81
2021,3,13,98.76,2.25,2.84,1.57,1.27,315.06,4.71,7.11,2.55,4.57,315.56
2021,3,14,98.41,3.56,5.95,2.07,3.88,304.38,6.66,9.68,3.39,6.29,305.56
2021,3,15,98.68,2.38,3.15,1.41,1.73,57.44,4.59,7.27,3.14,4.13,58.06
