YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M
2021,1,1,0.52,2.42,0.14,291.57,9.88,45.12,1.4,0.02,0.06,0.55
2021,1,2,1.01,2.49,0.27,297.83,18.57,44.52,2.52,0.02,0.13,0.53
2021,1,3,0.47,2.24,0.12,304.91,8.8,39.09,1.25,0.02,0.06,0.37
2021,1,4,0.71,2.47,0.19,293.05,13.09,43.1,1.84,0.02,0.09,0.37
2021,1,5,0.78,2.52,0.2,299.1,14.65,44.04,2.1,0.02,0.09,0.34
2021,1,6,0.82,2.64,0.21,295.71,15.11,46.49,2.15,0.02,0.09,0.45
2021,1,7,1.42,2.79,0.37,268.12,25.3,48.68,3.43,0.03,0.16,0.45
2021,1,8,1.6,2.82,0.41,254.99,28.49,49.08,3.76,0.04,0.2,0.47
2021,1,9,2.61,2.81,0.66,230.12,45.45,49.26,5.25,0.05,0.25,0.45
2021,1,10,2.5,2.83,0.63,237.62,43.02,48.99,5,0.05,0.23,0.43
2021,1,11,2.14,2.66,0.54,268.7,36.88,45.74,4.42,0.04,0.2,0.41
2021,1,12,2.13,2.84,0.53,276.52,36.88,49.2,4.45,0.05,0.22,0.51
2021,1,13,1.98,2.63,0.48,275.05,34.65,46.15,4.23,0.03,0.18,0.6
2021,1,14,2.28,2.66,0.55,265.44,39.63,46.12,4.76,0.03,0.19,0.51
2021,1,15,1,2.75,0.24,283.06,18.57,48.98,2.5,0.02,0.1,0.66
2021,1,16,0.93,2.9,0.23,286.14,17.41,50.65,2.4,0.02,0.09,0.46
2021,1,17,0.96,2.87,0.23,300.49,17.66,50.36,2.49,0.02,0.1,0.73
2021,1,18,0.69,2.95,0.16,297.01,12.86,51.57,1.87,0.02,0.08,0.82
2021,1,19,2.47,3.11,0.58,280.68,43.4,54.42,5.3,0.05,0.24,0.78
2021,1,20,1.51,3.19,0.35,266.62,27.16,55.68,3.72,0.03,0.18,0.88
2021,1,21,2.78,3.09,0.64,241.78,48.48,54.09,5.76,0.05,0.26,1.05
2021,1,22,1.24,3.19,0.28,290.98,22.59,55.81,3.12,0.03,0.16,0.98
2021,1,23,1.69,3.36,0.38,252.49,29.73,57.43,4.03,0.04,0.2,0.8
2021,1,24,1.73,3.18,0.39,252.99,31.62,56.32,4.12,0.04,0.2,0.36
2021,1,25,1.06,3.13,0.23,278.76,20.4,56.08,2.91,0.03,0.16,0.44
2021,1,26,0.68,2.92,0.15,310.46,12.66,51.64,1.72,0.02,0.1,0.97
2021,1,27,0.93,3.34,0.2,282.77,17.34,58.81,2.54,0.03,0.16,0.8
2021,1,28,1.6,3.56,0.34,259.71,28.49,61.13,4.04,0.04,0.21,1.1
2021,1,29,2.08,3.59,0.44,254.3,36.39,61.57,4.88,0.05,0.24,0.84
2021,1,30,2.97,3.59,0.62,236.66,51.3,62.23,6.3,0.05,0.3,0.41
2021,1,31,1.07,3.27,0.22,279.62,20.54,58.85,2.89,0.03,0.16,1.05
2021,2,1,1.72,3.46,0.35,278.43,32.05,62.72,4.39,0.05,0.24,0.8
2021,2,2,2.2,3.6,0.45,262.89,39.88,63.98,5.12,0.05,0.27,1.3
2021,2,3,3.05,3.78,0.61,256.31,53.1,65.65,6.66,0.06,0.33,1.2
2021,2,4,3.48,3.81,0.69,245.67,60.55,66.53,7.45,0.08,0.41,0.7
